genre,classname,title,shorttitle,year,director,soundcloud
Electronic,elec,The Quest for Energy,thequestforenergy,2016,Ekstasy,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/225184519&amp;color=ff5500&amp;auto_play=true&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false
Electronic,elec,The Petroleum Journey,thepetroleumjourney,2016,Ekstasy,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/216772740&amp;color=ff5500&amp;auto_play=true&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false
Electronic,elec,Samsung Product Film,samsungproductfilm,2015,Ekstasy,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/162794725&amp;color=ff5500&amp;auto_play=true&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false
Electronic,elec,We Love Paleo,welovepaleo,2015,Caroleen Moise,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/221864026&amp;color=ff5500&amp;auto_play=true&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false
Comedy,com,Time Baristas,timebaristas,2011,Alex Young,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/164262609&amp;color=ff5500&amp;auto_play=true&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false
Drama,drama,Citizen,citizen,2011,Matthew Campbell,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/134764617&amp;color=ff5500&amp;auto_play=true&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false
Electronic,elec,Henley,henley,2011,Unknown,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/165285162&amp;color=ff5500&amp;auto_play=true&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false
